,text
27350,Went to az for a business trip. Got so hungry and this restaurant filled me up with happiness. The best experience I had in az. Don't like the racist people in Phoenix though.
29115,"I've been waiting to go here - mostly because Cheuvront is my senator and I wanted to believe that he could do more than make racist comments at equality rallies (seriously - was anyone else there for that...wtf). 

But I was really impressed by their wine and their cheese selection. It's the best wine bar I've been to in Central Phoenix. I had an amazing bottle of Malbec and their memolet was fantastic. 

We sat at the bar and the man waiting on us was really helpful and attentive. It was fairly quiet in here but it was a weeknight. Not sure what the weekends look like.

My only complaint/inquiry/confusion was - no door handles going to the bathroom? how do I know which side to push on? weird and not high-art enough to be cool."
32566,"Worst Experience Ever!
Not only did my BLT come with hard dried up bacon and hardly any Mayo to help the lingering dry sensation taking over my mouth; I was also subjected to the most racist beings ever.
Sitting with my date I overheard a woman looking to be an owner of the establishment belittling her cooks and staff because they were ""Speaking Spanish and ruining the experience.""
I could not hear the cooks, nor should this be a problem when speaking to one another.
The racism was horrendous, and this was not the only comment I was subjected too while attempting to enjoy my meal. (In the summer heat with no A/C on. The Ice Cream could not even stand the temperature.)
Also a warning to all, if you are amid the LGBT+ community this is NOT the place for you. According to the same woman, complaining about her cooks speaking to one another, all beings who hold love for the same sex must have mental disorders, and unfortunately this too is a quote."
38565,"I live and own my property for 11 years and the HOA will not do anything about the animal problem that has been happening for the past two years.  This cat keeps coming to sleep, release its feces, attacking birds and eating them on my property.  The HOA property manager Judy O'Claire tried to put blame on the Glendale Code Compliance as well as vice versa.  Nobody wants to take responsibility and now I have to confront the neighbors at 6402 W Lawrence Lane, hopefully I don't get shot at.  I don't understand why this management company does not take responsibility and continues to not enforce the CC&Rs.  For nine years they kept sending me warnings about my garbage containers being exposed on my yard and a few weed warnings which was not true, and now I have to deal with somebody else's wandering pet because the darn property manager thinks it's my problem.  Those neighbors need to stop feeding all the cats from this and other neighborhoods and start taking responsibility or jail, including Osselaer Company who will land in jail too.  Judy O""Claire is a racist and discriminates against disabled homeowners, she will deceive that she does not know who I am when I have confronted her over two dozen times during the 11 years I've lived there.  Beware if you are having problems with the property managers, go to the president of the company."
42149,"WORST PLACE EVER, the mc at karaoke night its the most racist ever, you need to change her, otherwise your place will be worth nothing. The owner on the other hand, wont listen to the clients suggestions, and take part with the shitty employers. We order  drinks and the asked us to leave the place, they wouldnt even let us finish our drinks. So, its a really racist place that I do not recommend. Dont go there, period."
42150,"WORST PLACE EVER, the mc at karaoke night its the most racist ever, you need to change her, otherwise your place will be worth nothing. The owner on the other hand, wont listen to the client's suggestions, and take part with the shitty employers. We order  drinks and then asked us to leave the place, they wouldn't even let us finish our drinks. So, it's a really racist place that I do not recommend. Don't go there, period."
46241,"Fool me once, shame on you; fool me twice, shame on me. That is exactly where I am at with the beloved Swizzle Inn. But only with a certain semi-tall blonde (brunette w/highlights) bartender who apparently refuses to acknowledge me hanging over the bar with empty drink in hand as she prepares drinks for everybody else that walks up after me. Not on one occasion...three. Now, since I'm one to give the benefit of the doubt I can afford to give her some leeway. Here it is: 1) She is inept at her job who folds at the first sign of decent business and is unable to differentiate who was waiting first. 2) She would rather I be a six foot blonde chic who has the hots for her. 3) She is a racist that would prefer to snub me albeit I have a history of tipping well. 4) Number one and three. 5) Number two and three. 6) All of the above. 7) She can't handle the pressure of working at a small neighbor bar solo. 

Whatever the answer is, it's ashame because I'm all for the neighborhood bar. 

My last attempt was to purchase a $50 gift certificate for a friend who loves the place. I'm actually glad this chic saved me $50 by acting like a flustered nincompoop. 

Alright, I'm done. This place is too cool to totally abandon but I'm not giving this particular ""woman""any more of my money.

Thanks for reading."
48006,"I'm only giving this place two stars because the customer service was great.

Overall the hotel itself is a little outdated.  The TV, phone and clock are up to date but everything else was not.  It's a very clean room, nothing majorly wrong with it.

The downside is that the walls are paper thin.  We were just having a conversation and security knocks on the door telling us to lower the volume.  Lower the volume on what? So if you are a person with a ""loud"" voice, don't even bother staying here because the next night around 8pm, we get a call.  I didn't even bother answering because I figured it was the asshole racist security guard.  They have pre conceived notions that African Americans can't afford places like this buuuut your the one whose a rent-a-cop! I guess he had to feel big about himself since he might lack in other areas.

I've stayed at the Ritz in downtown LA and that place was top notch, 5 stars compared to this place.  Just because your in the Biltmore area, does not mean you have class. I doubt I'll come back here because I like to have conversations and not remain silent if I'm not under arrest Mr. Rent-A-Cop!"
49473,"This restaurant is for the rich kids that had never eaten any other fine food in the world other than steaks : ) Pricy steak (cow that is not even organically raised). Salmon that is farm raise(Atlantic). The steak that is almost tasteless. Veggies that are plain but buttery. The server was kind of racist (only asked what my white friend wants to drink, didn't ask me, and then brings me water). The only good thing about this place is the interior itself. The dinner alone was 83 dollars(split amount 3 people). If you have friends that want to get you there please steer them away because both of your stomach and wallet will leave unsatisfied."
63135,The Indian lady that owns this franchise here is extremely racist and didn't let me use 2 type of breads for 1 sandwich even tho I was willing to pay more ughh hopefully subway sees this and stops her rain #sandwich#nazi
65084,"This is a little, local owned store that pales in comparison to other local owned stores.  Having had reptiles, fish and birds my whole life, I would never buy anything from the wild, and this place has a reputation for having cheap prices because of the low quality of their animals.  I have found wild caught animals in this store repeatedly.  I have also seen animals very improperly housed, along with feces in the cages.
I have also had a conversation with the owner who was dropping some very racist bombs into the conversation about our current president and anyone who speaks multiple languages.  
It seems that all of the knowledge they have is only gained from elementary readings and minimal experience.  Their fish selection looks as though it was an old Walmart setup, which means if one fish is sick, they are all sick.
It is hard to tell people not to support a family owned business, but with a racist husband and a lady that never moves from her stool behind the counter but has an attitude on her, and with experiences as described above, it gets somewhat easier to tell you to go to another store.  It is worth it to drive to another pet store that does not support taking animals from the wild, does not hire weirdo's, and has a less ""racist"" staff.  I know of another reptile store at Bell and Cavecreek that has a much, much better selection."
70143,"They are very, very, VERY racist!! This is my 3rd time visiting this yummy Mexican place. The food is AMAZING! Sadly they are racist :( The first time I ate food from here my husband got it to go(my husband is white...blonde hair, green eyes), while I waited in the car. He ordered me nachos and got him self carne asada fries. The nachos were really yummy, but they didn't have a lot of toppings. I went back on my own about a week and a half ago and the food they gave me was AMAZING! It was 100 times better than what my husband got! I'm middle eastern, but can pass as Mexican. I assumed my food was better because there was a man working the register and cooking the food. I decided to go back a few days ago for lunch because the food was sooooooo good! Well, this time there were women behind the counter....they were super nice and friendly! I noticed some white people come in and her attitude completely changed, she was rude and almost seemed annoyed that they were there. Their food was ready before mine, the quality was the EXACT quality my husband got! My food was ready right after theirs, and mine was AMAZING wayyyy better than what they got!! 

I don't think they like white people....the whole menu is in Spanish! I can read and speak Spanish...so it's no problem for me. I think if they really wanted Americans in their restaurant.... they would translate the menu. I give it 3 stars because they are nice to me and the food is AWESOME! I take away the other two because they were not so nice to my husband :("
71548,"Wow this was place is so creepy and the customers are just as creepy,A friend of mine hade mentioned that this place had good breakfast,so I thought I would give it a try.I walked in the joint to give it a try and the looks i got when i walked in where enough to make me want to run out I have never seen more racist freaks crammed into a small place in my life,The Career sever was just as racist as all of the freaks in the joint, just rude as hell,Bottom line if you you want to experience phoenix racism at it's best go to 40th st Cafe,food cold service terrible and rude career waitress from hell, i would warn anyone who is not white and ignorant to not set foot in this place,more freakks and employees crammed into this place than i have ever seen!Stay clear unless your writeing a book on racism in phoenix at its best."
72928,The security guard at night called me a racist name. I was a long term guest at this place waiting for my house to finish and the management there seemed racist and judgmental towards young pretty single females. I would never recommend anyone to rent from here because of the current manager in charge and the racist security guard that totally disrespected me. I spent a lot of money to stay here and I was disgusted by the treatment I received in return.
73730,"I would like you to know this was a HORRIBLE experience & me and my family will NOT be returning.So we were in a lay over coming from Cancun then to SFO everything was fine until after we picked up our luggage to recheck it in.We noticed the two families from our flight going into the same area but before that we have to show our card with our family members name on it well the two families before us were able to go ahead but this man told us we have to go to the side to have a man re look through all our bags which made NO sense because we literally just picked them up and the families ahead of us were able to go so I brushed it off as if whatever but in the back of my head wondered why this man let those families go through with no problem?So we got to the last station were we believe the workers name was Perea?but we heard another man call him Alvin by the first name,talk about RUDE! He asked if we had food I said one piece of a hamburger left maybe like 2 inches and he yells ""IS IT PORK?!""and I proceeded to say ,""no I believe it is meat,you can take it if you'd like"" and he yells back at me, ""UH NO THIS IS NOT TRASH CAN"" & let me inform you this is in front of my family my mother,little sister,& grandmother so we just look at each other like OK?so he informs us to put our suitcases on the machine to have them go trough so we start out with my 70 year old grandmother who's bag weighs about 26 pounds this man yells at her!Saying""DON'T THROW IT ON THERE""now tell me how is my 70 year old grandmother going to throw a 26 pound bag?!so we proceeded to put ours and once again yells at us to not throw it,I'm not sure if this man needs a nap or a raise but he was scum and deff needs to be talked to. So that experience sucked so finally got our baggage re checked for our next flight now to head to the security/TSA department now let me say something really quick I am NOT racist I am Hispanic & most of my friends are Caucasian but how I was treated in the TSA department was HORRID! We got our Passports checked and were told to go through the security as is everyone else, well we were on one side,there was a group of Indian decent men in front of us,a Caucasian family behind us & in the booth next to us only Caucasian people.So we put our stuff through the machine next to a TSA machine & also a metal detector.I'd like to know  how come the Caucasian woman working sent the Caucasian group of people next to us all through the regular metal detector but had my whole family and the Indian men in front of us go through the TSA machine but as soon as I'm waiting for my turn in the TSA this woman let the cacusian people behind me just go through the metal detector!!!!!! I'd like to say that's some bullshit especially because all I was wearing was a tank top shorts and flip flops NO JEWELRY! What could it had hurt if I went through the regular detector!!!!This makes no sense to me and as soon as I walk out the TSA machine ANOTHER woman working there stops me and rechecks me with a hand metal detector!!!! are you shitting me?! My family just standing there looking at me like are you serious?! So this makes no sense to me and is just pushing me to make even a bigger uproar.So when she was done I proceeded to get my belongings and walk out but the flapping door wouldn't push open so I had to pull it towards me to get out and the woman YELLS,""NO it's the other way PUSH IT!""seriously if it worked the other way I would have I'm not an idiot it says PUSH but it wasn't exactly even on the sides so it wouldn't. Finally we had gotten out that area and proceeded to our Terminal where all the seats were taken up and 6 were taken up by a Caucasian man who felt the need to sleep across all the chairs we tried to wake him to move but nope nothing so we proceeded to tell the  woman working can you please have him move but did she do anything??oh OF COURSE NOT so we were left to sit on the ground!! Thank you! I have to say we were so disappointing we heard Arizona was disliked for some of their racial issues and also are being attacked by LULZSEC and the hacking of Arizona police but DAMN REALLY?No wonder it's so hott it is HELL.
p.s. They say they have free WIFI but it didn't work on my Iphone or Laptop.



and for a update they called me to apologize & said it had nothing to do with my race,that maybe I WAS HAVING AN OFF DAY?!wow....I appreciate them actually calling back but the least they could of offered me a Starbucks gift card comeeeeeeeeeeeeee on."
82432,"i mever write any reviews but i felt the needs to do this in order to warn others. DONT USE BRISTOL WEST!!!!!!!!!!!! i filed a claim but they switched my adjustor without notifying me first, then she gave my case back to the first guy wo telling me again. no one responded to my calls or had any info i provided about 5times. when adjustor finally called, he made an extremely racist comment against my ethnicity and when i called him out, he raised his voice and responded with bad bad attitude, icouldnt be more shocked!!!!! his name is brian cargile fyi. dont use this company, they are rude, unprofessional, and apprently has 'no way to make any complaints'."
83258,"When you first walk in you may think this is just another strip mall soggy egg roll, is that meat? Chinese restaurant. You would be wrong! This place has amazing service (thank you Stacy) and when I say amazing I mean service that would rival Capital Grill if it were a small establishment, that part may all just be Stacy :-) but the food is definitely Mr Cho and it's refreshing to have a chef with the last name Cho and not Rodriguez. No offense of course but traditional has its own special feel and taste and smell and it's wonderful to get it from someone truly rooted in the fairs homeland. (I'm part Mexican so don't call me racist I had tacos for breakfast!) I don't want me Cho cooking my enchiladas either. 

Ruling: Good food, good service and damn I'm good lookin!"
83521,"My wife and I were unsure as to what to expect after the few reviews we read that rated this place so terribly... We were very pleasantly surprised! 

The restaurant was clean and the servers were nice. Our hot tea was as authentic as it gets (my wife's green tea was indeed green and earthy as it should be) The food all looked good and there was a fantastic variety. Not being racist or anything but I was glad to see that there wasn't a ""Mexican"" dish in sight, as so many other Chinese buffets in Arizona do. 

Honestly I've never been a Chinese buffet fan because I'm a picky eater, usually I just end up eating the American food and possibly egg drop soup. I was glad that I ended up trying a few things I usually wouldn't eat. The sesame chicken was great and whoever that guy at the stir-fry station was rocks! Next time I'll be sure to bring cash to tip that guy for the tasty food he put out for us!!! Oh and the dessert! Holy crap the dessert... We laughed as they mislabeled the red velvet cake as cheesecake but it was delicious! And the chocolate mousse cake was exactly what my wife needed after a stressful day.

All in all this was one of the most enjoyable and worthwhile Chinese buffets I've been to in a VERY long time and we will most definitely be going back!

Oh and to those who rated this place poorly... Where the hell do you eat at? Did you eat Chinese food here? Are you maybe mistaking this place for somewhere else? If this place was so terrible, I dare you to try it again after going somewhere like Lin's... See how you feel after that!"
91751,"This one star is specifically for IRENE the cashier. She was INCREDIBLY RUDE and profiling. I would also say probably racist bc she was nice to the people in front of us. If you have a problem with a PAYING CUSTOMER you should NOT be in retail! 

First incident: she placed the video game I bought for my brother in the bag directly without taking off the security cover. I notified her of doing this, and she said what do you want me to do about it? I want you to remove it so I won't exit the store with a problem! It's like she had never done it in her life. She had to insert my DOB so I handed her my license bc she asked me for it. She then threw it across the counter at me instead of handing it to me directly. 

Second incident: I had a coupon for coffee, and she threw it at me saying is this yours? Yes, it is mine. And I wanted you to scan it so I can use it, idiot. 

Third incident: I inserted my card and she yelled at me saying to not remove it. I know. I can read, and this isn't my first time purchasing anything with the new chip. Plus, it CLEARLY says in English ""please do not remove your card."" 

Fourth incident: she tried offering me a job as if I'm not employed. Yes, I may look like I've had a rough week but that's because I work 12.5 hour shifts at the hospital. She also said this was her second job so I can have another. Hahahahahahahahaha! Classic. I guess I look like someone who can't afford my lifestyle and need a second job! Sorry, woman. I thought of that before I graduated college. 

Irene is the greatest target employee ever. Insert sarcasm here. I wish to never come across her customer service. Ever again. And I go to target weekly."
95040,"I like to go into gun shops and look around.  Since everyone started to convince themselves the ""gubmint"" was coming to get their guns it has been an even more interesting experience (I own plenty of guns...but there are some people who have no business having one and a trip to your local gun store will give you exposure to plenty of them).  

So over the years I think probably purchased 2 or 3 guns from this store (in whatever stage of ownership it may have been in), but yesterday's trip was one for the record books.

So the store was relatively empty (about 4 customers or so) and about two guys behind the counter.  One of the guys behind the counter was running his mouth pretty heavily and quite frankly set the world land speed record for racist comments.  Now I'm no shrinking flower here but to hear someone pop off so many comments in such a short period (may 2 minutes tops) was nothing short of racist artistry.  In short his topics were...

- Brown people (he never got to a point on this one, but last I checked about 35% of AZ is populated by ""brown people.""  I guess he has a problem with them)

- Blacks all have free cell phones (where do these morons get this one?  The program  for phone service for the ""poor"" (wide definition here and includes Medicare recipients...and the list goes on) was started under Reagan, expanded under Clinton and cell phone inclusion was under Bush II)

- Sand people (this one had something to do with the Boston bombing.  On the other hand, who knows...we live in the desert so maybe he was pissed at AZ ""sand people"")

- Welfare has increased by 70% for some of the aforementioned groups under Obama (this one is just too stupid to comment on)

There were a few others thrown in, but by this point in his observations on life I was just amazed that he wasn't dressed in a hood and sheet and kind of quit listening.

All in all an interesting trip, but I'm pretty sure it will be my last."
109348,"My girlfriend and I went to check this place out, mind you I'm asian and she is half-irish/half-jamacian. We were given the coldest look when we came in. Ordered a large square pan, was given a 35 minute wait, and a hour later no pizza because we found out another group who ordered the same thing was given the pizza we ordered. BULLSHIT, that is some racist ass stuff. So he instead gave us a medium sized pan and refunded us the difference. In the end pizza was bland and cheaply made. Waste of time and money. Will NEVER come back!

RATING: GARBAGE!"
112376,"My husband and I are regulars at K O's and have dinner and play trivia every Wednesday night.  We were there on October 21 to watch the baseball playoffs.  We are always pleased with the service and quality of food items.  The wait staff are friendly and efficient.  I would venture to say that the unfavorable reviews recently posted were written as a result of a group going way too far in trying to harass guests with their political, biased, and racist comments over a loud speaker system.  The staff should be congratulated on how they handled a difficult situation.  We frequent K O's for a fun social evening with friends and feel comfortable knowing we can feel safe and free from harassment."
118134,"My son had a $50 gift certificate to John Henry's Restaurant; (supposedly a fine-dining establishment) and on a moment's notice asked his mother (me) to go out for dinner. (I usually YELP restaurants before I go out  to eat somewhere but due to the last minute plans I did not have a chance to do so.) And I am thinking - $50 couldn't go too wrong.
Enter the TWILIGHT Zone.....................

Ok.   so you have  an English sounding restaurant  but with an Italian Menu, Croatian  Greeter/Manager, a decor that is Southwestern with weird French accents; and such inept waiters who are unbelievable.

  Let's start with OUR WAITER.  The manager promptly seats us.
10 minutes later, our server appears- very friendly- but immediately announces he hasn't worked in months since working here years ago and we (unfortunately ) are his very first patrons sinc returing to work here!) .   He proceeds to tell us of his  past misfortunes and  subsequent travels around the world.  Meanwhile, we are thirsty and would like (at least some water) and perhaps order a drink.  When he is finished, I asked  what the house wine was - Response - ""Gee, I don't know -it use to be Woodbridge but it may have changed.  He just stood there.  I asked- ""can you please find out?""  He said ""Oh yea - sure"".  We also have  no tableware - nor menu.
Can you spell I-N-E-P-T? 

He came back to take our drink orders and tell us about the drink specials.  I asked if we could see a menu  (mind you we are already  20 minutes into the evening. )  He laughed and attempted to make light of the fact that we had no tableware nor menu.

So while we are waiting - the waiter for the group of 8 women  seated directly behind  us  (from Chicago, based on their very loud conversation) was telling them a story about  God knows what.  He talked very loudly and kept saying  ""those Black guys"" in his monologue.  There happened to be a couple (black gentleman with his white companion) nearby who could not help but overhear this guy's  very racist dribble and appeared to become very uncomfortable.  The women sat silently and said nothing.  I was about to interrupt him  and tell him that his conversation was rude and to please stop when he ended his rant and left.

The wine list is from HELL- How can a purported fine dining establishment even entertain the thought of having Sutter Home White Zinfandel ($23/bottle)  and Little Penguin Cabernet - ($34/bottle) on the menu?  What a joke - not to mention rip-off
 
About the food.......
The veal dishes we had were ok.  Although the veal (Satimboca and Marsala) were tender, both dishes were very salty.  However, the vegetables were fresh and tender and the potato slices tender.  The bread is hot  but nothing to rave over.  We stuck to one glass of red wine each from the Glass Only wine menu as the bottle menu was lacking and way overpriced. 
 We ended  the meal  splitting  the Tiramisou which was very good and supposedly homemade on the premises.

By the time we left @  8:30 p.m. the place was busy with only 3 empty tables. My son and I could not figure out how this place stays in business considering the poor service and mediocre food/overpriced and  low end wine selection.    Bill for two came to $113 and with our $50 coupon ended up paying  $82 (including tip) .  Way overpriced.  

Trust me -  we will NEVER return to this TWILIGHT ZONE again and if you are wise you won't even begin to venture into it...."
128347,"We boarded our dogs here for July 4th weekend only because every place else was booked up.  First, the location is industrial which is fine I suppose.  Second, the front office is very messy and disorganized.  The owner was working the front desk and is not very personable.  I had to give her my information repeatedly as she could not properly type my information into the computer.

There is religious and anti-Obama, anti-muslim, racist paraphenelia hanging all over the walls.  If we hadn't been so desperate to find boarding, I would have walked out.

The dogs stayed nearly a week and we had to pay for basic grooming; whereas, with our usual boarding at Ann Road Animal Hospital, they do basic grooming every 3 days without any extra charge."
128479,The food is OK is not bad but is not the best sea food neither the decoration as many mexicans restaurants is scandalous the biggest problem here is too loud there is a band playing live terrible music that I can't even talk to my wife or place my order to my waitress really...I'm Mexican so don't say I'm being racist  IT SAYS IT'S A RESTAURANT NOT A BAR OR A CLUB you came here to eat in peace not to dance for God's sake besides there is an army of people trying to sell you illegals copies of movies and all kind of things. ...I THINK IM GOING TO TRY TO SELL EARPLUGS HERE AND START MY OWN BUSINESS
